Start,End,Open,High,Low,Close,Volume,Market Cap
2024-06-12,2024-06-13,174.8866,181.2638,173.7614,180.5086,151404221.62369338,3275752129.749129
2024-06-11,2024-06-12,178.5545,179.9248,167.9918,174.0177,175744715.4947735,3224033716.2891984
2024-06-10,2024-06-11,173.8144,180.6108,173.8144,178.4636,158414454.16027874,3276310747.205575
2024-06-09,2024-06-10,169.2525,174.84,166.62,173.7436,122881794.271777,3144860989.923345
2024-06-08,2024-06-09,155.0408,168.7812,155.0408,168.7812,105156919.86062717,3022295688.261324
2024-06-07,2024-06-08,164.8356,173.9867,154.195,154.2681,90849788.52264808,3053005223.1463413
2024-06-06,2024-06-07,162.9913,166.0787,162.5191,165.3961,75735280.38675958,3021229750.2160277
2024-06-05,2024-06-06,160.1299,165.1058,159.26,163.208,78766699.45296167,2996929716.8675957
2024-06-04,2024-06-05,155.6452,160.1964,155.0185,160.1472,80815311.56097561,2905251243.4181185
2024-06-03,2024-06-04,153.1367,157.9735,152.0107,155.1139,75287877.65853658,2852825745.2125435
2024-06-02,2024-06-03,149.289,153.1201,149.289,153.1123,56711785.571428575,2799565732.881533
2024-06-01,2024-06-02,148.7683,151.223,147.3243,149.3511,67370044.37630662,2754424115.752613
2024-05-31,2024-06-01,146.3209,149.2964,143.983,148.9549,85847956.4076655,2701218022.0383277
2024-05-30,2024-05-31,140.7616,147.0814,140.6811,146.3569,74154583.43902439,2663853367.142857
2024-05-29,2024-05-30,141.8651,143.8124,138.489,140.9023,65208764.16376307,2617698233.369338
2024-05-28,2024-05-29,142.0263,144.6157,141.4411,142.351,66577087.041811846,2636078202.857143
2024-05-27,2024-05-28,142.2683,144.4572,141.6113,141.9404,55324516.153310105,2637254742.8954706
2024-05-26,2024-05-27,141.9108,144.1152,141.3383,142.7937,47459245.17770035,2633506699.108014
2024-05-25,2024-05-26,141.3266,142.8388,141.1986,141.9357,55540645.18118467,2617858462.9407663
2024-05-24,2024-05-25,139.5257,144.1104,139.0333,141.3786,83181415.95470384,2611257761.4634147
2024-05-23,2024-05-24,139.3409,141.952,137.9586,139.2114,64795210.52264808,2579767692.8292685
2024-05-22,2024-05-23,136.8298,140.1535,136.4336,139.0888,85468592.67247386,2552380214.080139
2024-05-21,2024-05-22,135.9536,142.2198,134.3775,136.667,87167254.46341464,2548685411.243902
2024-05-20,2024-05-21,136.0727,137.9482,135.5798,135.8183,45112128.094076656,2518231064.9512196
2024-05-19,2024-05-20,137.2433,137.57,135.7252,135.8893,42401278.89547038,2520525678.9059234
2024-05-18,2024-05-19,134.6837,138.4576,134.3542,137.2098,50008637.82926829,2516000726.512195
2024-05-17,2024-05-18,134.032,135.3754,132.7202,134.7158,54721237.31010453,2476605985.522648
2024-05-16,2024-05-17,134.4598,135.2624,130.3442,133.786,56209265.66550522,2458809411.714286
2024-05-15,2024-05-16,132.0042,137.0425,130.7928,134.4828,53206606.951219514,2457172010.8850174
2024-05-14,2024-05-15,136.4021,136.7861,131.8059,131.8059,59058237.26829268,2472275507.087108
2024-05-13,2024-05-14,133.0812,137.6001,130.6684,136.5708,53926821.452961676,2478000772.261324
2024-05-12,2024-05-13,131.9878,134.3964,131.9878,132.7639,43698752.50174216,2457397338.0104527
2024-05-11,2024-05-12,132.725,133.1353,129.0863,131.7871,54454201.77003484,2425248323.4076657
2024-05-10,2024-05-11,131.8212,133.906,131.1765,132.6005,68358212.97909407,2443542504.2961674
2024-05-09,2024-05-10,130.6395,133.9166,127.8178,132.0003,63967836.81533101,2419297512.477352
2024-05-08,2024-05-09,127.5579,130.6163,127.082,130.5685,64721810.264808364,2370439654.9895473
2024-05-07,2024-05-08,130.21,132.6013,126.6603,127.4227,64971665.212543555,2396860750.7979093
2024-05-06,2024-05-07,134.4696,134.4696,129.205,130.282,87728038.06620209,2428733023.2961674
2024-05-05,2024-05-06,123.686,134.3028,123.313,134.3028,88263875.55400696,2347179155.5365853
2024-05-04,2024-05-05,125.4799,129.5789,122.7606,123.4894,82971146.46341464,2302083898.285714
2024-05-03,2024-05-04,123.1769,126.3401,121.9187,124.8766,69598505.08013937,2279954831.3414636
2024-05-02,2024-05-03,123.9987,125.7886,120.3983,123.2758,74337675.32752614,2276348479.264808
2024-05-01,2024-05-02,119.9124,123.313,116.3947,123.2513,74184673.79442509,2211713681.285714
2024-04-30,2024-05-01,128.6712,131.185,117.8416,119.4045,89790745.80139373,2265928833.630662
2024-04-29,2024-04-30,126.5941,129.3422,122.5698,128.7137,89628277.4076655,2306432934.02439
2024-04-28,2024-04-29,122.7254,129.7036,121.7016,126.4757,77985402.32752614,2296708245.522648
2024-04-27,2024-04-28,119.9396,122.9798,118.2255,122.7906,64813849.79094077,2216069942.205575
2024-04-26,2024-04-27,120.3654,122.3811,119.1599,120.3926,60954775.14285714,2224261915.477352
2024-04-25,2024-04-26,119.101,121.4527,117.1094,119.9376,62287824.9825784,2196250802.5365853
2024-04-24,2024-04-25,121.5913,122.1762,118.4693,118.6927,60501714.14285714,2226356652.958188
2024-04-23,2024-04-24,121.2986,123.9659,120.2526,121.3818,69724107.20905924,2250624092.595819
2024-04-22,2024-04-23,119.394,123.7627,119.0356,121.2036,67491498.90243903,2230108810.944251
2024-04-21,2024-04-22,121.1436,125.0662,116.0218,118.8832,70058539.53658536,2212862729.1498256
2024-04-20,2024-04-21,117.2385,121.5809,116.7151,121.5809,66994347.82229965,2180513365.5470386
2024-04-19,2024-04-20,116.3084,121.6401,110.9387,117.0953,79470232,2163053456.9615383
2024-04-18,2024-04-19,118.163,119.0671,113.1264,116.3251,86477491.4770318,2144639051.7102473
2024-04-17,2024-04-18,121.4168,125.0371,116.6858,117.3153,80167210.74216028,2238154552.651568
2024-04-16,2024-04-17,123.5021,123.9018,114.5177,122.4431,76525077.82578397,2214818263.487805
2024-04-15,2024-04-16,121.2265,127.1918,117.7302,123.3788,78805380.42160279,2250956449.752613
2024-04-14,2024-04-15,115.4368,122.7423,113.6692,121.7972,100621578.77003485,2189561441.2125435
2024-04-13,2024-04-14,122.8909,128.5483,105.8233,115.8438,88040288.18815331,2256551372.9965158
2024-04-12,2024-04-13,133.4448,134.8069,117.4168,123.2763,60825522.780487806,2407856463.8222995
2024-04-11,2024-04-12,133.4363,136.4087,132.1296,133.3966,63678669.06271777,2459106685.6585364
2024-04-10,2024-04-11,133.3972,137.6573,130.564,133.7887,68203622.52797203,2461343413.6328673
2024-04-09,2024-04-10,137.7888,140.3363,130.6807,133.4725,87567986.43205576,2495390369.9303136
2024-04-08,2024-04-09,131.2414,137.4887,130.5151,137.4887,64634152.06620209,2456662213.4808364
2024-04-07,2024-04-08,131.9847,135.2101,129.0531,131.3807,55751214.087108016,2432075859.076655
2024-04-06,2024-04-07,126.7108,132.7073,126.7108,131.9886,59820981.81533101,2406699649.6620207
2024-04-05,2024-04-06,131.717,132.2048,125.3871,126.9584,79628913.70731707,2376293881.390244
