Start,End,Open,High,Low,Close,Volume,Market Cap
2025-03-16,2025-03-17,17.9821,18.0677,17.2913,17.5061,365843758.0069686,2671782736.365854
2025-03-15,2025-03-16,18.0725,18.2621,17.9142,17.9941,372602044.9268293,2725304973.30662
2025-03-14,2025-03-15,17.8903,18.4705,17.8778,18.0719,382232353.4599303,2740235808.1498256
2025-03-13,2025-03-14,18.0438,18.0506,17.4821,17.9133,373284175.81881535,2691283100.979094
2025-03-12,2025-03-13,17.8903,18.3323,17.3308,18.0796,412708052.6445993,2688000065.3101044
2025-03-11,2025-03-12,17.0387,18.1656,16.1495,17.9219,553266178.2299652,2637009931.1533103
2025-03-10,2025-03-11,18.0518,18.7333,16.8827,16.9759,523348952.78397214,2700765186.891986
2025-03-09,2025-03-10,20.2351,20.4362,17.7918,17.9611,414466400.3728223,2892147085.3728223
2025-03-08,2025-03-09,20.4257,20.5628,19.5404,20.1996,520283904.16027874,3026690876.6271777
2025-03-07,2025-03-08,20.0579,21.1685,19.222,20.4341,550895975.3101045,3108670475.268293
2025-03-06,2025-03-07,20.583,21.0731,19.927,20.0348,559352177.5422535,3081308257.496479
2025-03-05,2025-03-06,19.0019,20.8166,18.887,20.562,464262460.20905924,2973355951.891986
2025-03-04,2025-03-05,18.7623,19.2428,18.0197,19.0282,538802237.1358885,2794100706.425087
2025-03-03,2025-03-04,20.9249,20.9249,18.6139,18.847,614651202.9616724,2999704271.076655
2025-03-02,2025-03-03,19.0581,21.1937,18.8994,20.9981,448666337.8432056,2976469309.944251
2025-03-01,2025-03-02,19.557,19.7787,18.8891,19.0773,465931574.4390244,2899003415.6898956
2025-02-28,2025-03-01,18.7288,19.5833,17.6961,19.5833,560746913.0383276,2804605603.1533103
2025-02-27,2025-02-28,18.7906,19.2037,18.3623,18.7048,472555586.5121951,2836229384.101045
2025-02-26,2025-02-27,18.8948,19.2011,18.0691,18.7401,508433698.0731707,2834617504.41115
2025-02-25,2025-02-26,18.7336,19.1158,17.739,18.9289,639074013.5505227,2777368779.0383277
2025-02-24,2025-02-25,20.8034,20.8669,18.6167,18.6167,411591619.37979096,2983161797.7839723
2025-02-23,2025-02-24,20.5257,21.0163,20.5161,20.8298,399868110.8954704,3114361871.8292685
2025-02-22,2025-02-23,20.2148,20.7596,20.1514,20.5452,515213340.9285714,3077034900.175
2025-02-21,2025-02-22,21.0276,21.6296,20.0118,20.2453,493782296.81881535,3144017406.567944
2025-02-20,2025-02-21,21.2124,21.5953,20.7891,21.0454,466659855.6097561,3176241789.348432
2025-02-19,2025-02-20,20.2249,21.2592,20.0633,21.2081,467010061.39721256,3118149537.3867598
2025-02-18,2025-02-19,20.9253,20.9581,19.6714,20.2309,521741698.26132405,3043136166.174216
2025-02-17,2025-02-18,20.5129,21.4637,20.306,20.9249,437362075.8501742,3135106408.641115
2025-02-16,2025-02-17,20.8433,20.9067,20.398,20.5331,396252611.5679442,3105298010.6027875
2025-02-15,2025-02-16,21.4101,21.5092,20.7524,20.8566,432569439.70034844,3178220205.4216027
2025-02-14,2025-02-15,21.189,21.8482,21.0786,21.4261,437931966.0696864,3216949718.9303136
2025-02-13,2025-02-14,21.3712,21.5572,20.8904,21.1594,489809539.2020906,3189163928.919861
2025-02-12,2025-02-13,20.3324,21.5611,20.1636,21.4147,465001221.3240418,3102140093.616725
2025-02-11,2025-02-12,20.7167,21.3529,19.9947,20.3338,425205869.6480836,3130808359.9303136
2025-02-10,2025-02-11,20.2999,20.7589,19.7758,20.6783,462206919.7979094,3082573065.609756
2025-02-09,2025-02-10,20.1776,20.4765,19.5097,20.2169,414960200.2195122,3046170261.7108016
2025-02-08,2025-02-09,19.8424,20.2393,19.748,20.2092,497260681.36585367,3002148301.7212543
2025-02-07,2025-02-08,19.8209,20.8453,19.4093,19.8122,540026960.4425087,3026120791.6445994
2025-02-06,2025-02-07,20.8012,21.2766,19.7526,19.7837,492096071.0557491,3090223046.0278745
2025-02-05,2025-02-06,20.7877,21.4502,20.578,20.7383,609370519.2578397,3153437844.020906
2025-02-04,2025-02-05,22.2572,22.3292,20.3434,20.8014,909217258.6167247,3181122196.958188
2025-02-03,2025-02-04,22.507,22.5511,18.5634,22.1383,1371890155.2752614,3070893857.8222995
2025-02-02,2025-02-03,25.0816,25.3815,22.1773,22.5119,584301174.076655,3648774261.1672473
2025-02-01,2025-02-02,26.8687,27.3246,24.9473,25.1211,597910755.1010453,3964505094.780488
2025-01-31,2025-02-01,26.3812,27.6069,26.0438,26.8989,487666374.6585366,4017377609.8675957
2025-01-30,2025-01-31,25.5805,26.6817,25.4856,26.3635,504524900.5958188,3957156070.550523
2025-01-29,2025-01-30,25.0854,25.9863,25.0854,25.6547,525476511.6933798,3840949339.6271777
2025-01-28,2025-01-29,26.186,26.3376,24.9113,25.019,587927974.7770035,3880635664.1777005
2025-01-27,2025-01-28,26.3225,26.5774,24.9104,26.0008,711371100.6376307,3861983352.2125435
2025-01-26,2025-01-27,27.1262,27.1806,26.2426,26.248,473722204.19860625,4053534238.8118467
2025-01-25,2025-01-26,27.5731,27.6265,26.8492,27.188,625521781.5993031,4089193485.3135886
2025-01-24,2025-01-25,29.0781,29.0781,27.5561,27.5689,1227570795.2543554,4260890122.404181
2025-01-23,2025-01-24,26.8649,29.1189,26.747,29.0488,808116603.825784,4150872899.7630663
2025-01-22,2025-01-23,27.262,27.6117,26.594,26.8633,621574674.5574913,4052901487.1881533
2025-01-21,2025-01-22,25.7964,27.7484,25.2032,27.1774,789916588.0627178,3957421477.6689897
2025-01-20,2025-01-21,25.3657,27.6657,25.0108,25.7942,1117412029.4181185,3964928613.759582
2025-01-19,2025-01-20,26.9669,28.0377,25.2089,25.5932,711816870.7142857,4016789205.3101044
2025-01-18,2025-01-19,28.3307,28.4926,26.5386,26.9609,644495004.5296167,4078700530.87108
2025-01-17,2025-01-18,26.7922,28.5946,26.7922,28.2901,643160964.3797909,4189033549.630662
2025-01-16,2025-01-17,27.173,27.3296,26.2064,26.7481,650856387.3310105,4024091083.2891984
2025-01-15,2025-01-16,25.3881,27.1686,24.9974,27.1205,503659090.36585367,3876295237.696864
2025-01-14,2025-01-15,24.6217,25.5051,24.5411,25.4389,584210486.7839721,3771586993.066202
2025-01-13,2025-01-14,25.3357,25.7526,23.2754,24.6744,530830402.6585366,3656744214.1881533
2025-01-12,2025-01-13,25.6106,25.7726,25.101,25.2851,379677510.445993,3833458892.9965158
2025-01-11,2025-01-12,25.7274,25.9246,25.2735,25.6306,478122101.74216026,3829522269.3379793
2025-01-10,2025-01-11,24.9991,25.8966,24.9507,25.7735,548396248.9721254,3827919525.9616723
2025-01-09,2025-01-10,25.3148,25.6145,24.5325,24.966,601320258.5017421,3778187901.595819
2025-01-08,2025-01-09,25.9855,26.3265,24.5927,25.349,708731665.7421603,3832846660.3310103
2025-01-07,2025-01-08,28.6321,28.7689,26.06,26.0721,649383610.6933798,4179261945.268293
2025-01-06,2025-01-07,28.1648,29.1223,27.8784,28.5688,564248196.9055943,4270121195.853147
2025-01-05,2025-01-06,28.3654,28.4815,27.5262,28.1498,461311329.60278744,4208661857.9268293
2025-01-04,2025-01-05,28.4525,28.7026,27.9735,28.4152,522838922.88850176,4250460647.780488
2025-01-03,2025-01-04,26.9095,28.4876,26.6689,28.4068,509909791.9303136,4131456627
2025-01-02,2025-01-03,25.8084,27.0144,25.8084,26.9106,585963600.066202,3995193861.9303136
2025-01-01,2025-01-02,25.109,25.91,24.7362,25.8144,459578418.5888502,3789158929.529617
2024-12-31,2025-01-01,25.4553,26.0324,25.0012,25.1199,503829612.66898954,3810572977.12892
2024-12-30,2024-12-31,25.5631,26.2396,24.8818,25.502,491941642.41463417,3860486573.184669
2024-12-29,2024-12-30,26.5526,26.6728,25.3845,25.629,406925191.6271777,3937457602.731707
2024-12-28,2024-12-29,26.0353,26.6451,25.8568,26.6081,475295869.27874565,3937175088.3623695
2024-12-27,2024-12-28,25.9621,27.0748,25.8424,25.9995,567200183.3519164,3954976685.0139375
2024-12-26,2024-12-27,27.4578,27.5072,25.6646,25.9286,528851113.4494774,3951359109.8013935
2024-12-25,2024-12-26,27.9384,28.1831,27.0749,27.3793,542217027.4507042,4136956718.080986
2024-12-24,2024-12-25,27.5382,28.3986,26.901,28.0635,610831208.1533101,4142505063.2160277
2024-12-23,2024-12-24,26.0566,27.759,25.6743,27.5404,626449518.738676,3979767177.512195
2024-12-22,2024-12-23,26.0735,26.6789,25.4761,26.0626,663069597.0243902,3929652758.6794424
2024-12-21,2024-12-22,27.6035,28.6051,25.958,26.1885,987359685.9581882,4062779844.097561
2024-12-20,2024-12-21,26.8412,27.6824,23.8671,27.5766,1298365776.7665505,3976984776.554007
2024-12-19,2024-12-20,29.5193,30.0018,26.3775,27.0454,1148733437.466899,4316684537.470384
2024-12-18,2024-12-19,32.5158,32.6304,29.4371,29.5399,940150388.7421603,4733995714.268292
2024-12-17,2024-12-18,33.095,33.9595,32.2526,32.4227,1041234855.7247387,4981613813.038327
2024-12-16,2024-12-17,33.6847,34.9926,32.257,33.2717,1064221936.6097561,5025529552.738676
2024-12-15,2024-12-16,32.6444,33.7849,32.3174,33.7849,772958541.2264808,4933276399.898954
2024-12-14,2024-12-15,34.0106,34.1662,32.0038,32.5999,860214647.6655052,4961560511.853659
