Model,Release Date_x,Hashrate,Model_clean,Release_Date_x,Matched_Product_Name,fuzzy_score,Product Name,Architecture,Release Date_y,Base Clock,Boost Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,TDP,L1 Cache,L2 Cache,Shading Units,CUDA,FP32 (float),Tensor Cores,BF16,TF32,Product_Name_clean,Release_Date_y,Date_match
GeForce GTX 1050 Ti,Oct 2016,13.00 Mh/s,gtx 1050 ti,2016-10-17,gtx 1050 ti,100.0,GeForce GTX 1050 Ti,Pascal,"Oct 25th, 2016",nan,nan,1752 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,gtx 1050 ti,2016-10-25 00:00:00,True
GeForce GTX 1660 Super,Oct 2019,29.30 Mh/s,gtx 1660 super,2019-10-17,gtx 1660 super,100.0,GeForce GTX 1660 SUPER,Turing,"Oct 29th, 2019",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,gtx 1660 super,2019-10-29 00:00:00,True
Radeon RX 5500 XT 8GB,Dec 2019,26.00 Mh/s,rx 5500 xt 8gb,2019-12-17,rx 5500 xt,83.33333333333334,Radeon RX 5500 XT,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx 5500 xt,,True
Radeon RX 6700 XT,Mar 2021,46.00 Mh/s,rx 6700 xt,2021-03-17,rx 6700 xt,100.0,Radeon RX 6700 XT,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx 6700 xt,,True
Radeon RX 6800 XT,Nov 2020,62.00 Mh/s,rx 6800 xt,2020-11-17,rx 6800 xt,100.0,Radeon RX 6800 XT,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx 6800 xt,,True
Radeon RX 6800,Nov 2020,61.00 Mh/s,rx 6800,2020-11-17,rx 6800,100.0,Radeon RX 6800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx 6800,,True
GeForce RTX 4070 Ti,Jan 2023,65.00 Mh/s,rtx 4070 ti,2023-01-17,rtx 4070 ti,100.0,GeForce RTX 4070 Ti,Ada Lovelace,"Jan 3rd, 2023",nan,nan,1313 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 4070 ti,2023-01-03 00:00:00,True
GeForce RTX 3060,Feb 2021,41.00 Mh/s,rtx 3060,2021-02-17,rtx 3060,100.0,GeForce RTX 3060 Mobile,Ampere,"Jan 12th, 2021",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 3060,2021-01-12 00:00:00,True
Radeon RX 5600 XT,Jan 2020,40.50 Mh/s,rx 5600 xt,2020-01-17,rx 5600 xt,100.0,Radeon RX 5600 XT,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx 5600 xt,,True
GeForce RTX 5060 (*),May 2025,51.00 Mh/s,rtx 5060,2025-05-17,rtx 5060,100.0,GeForce RTX 5060,Blackwell 2.0,"May 19th, 2025",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 5060,2025-05-19 00:00:00,True
GeForce RTX 5060 (*),May 2025,51.00 Mh/s,rtx 5060,2025-05-17,rtx 5060,100.0,GeForce RTX 5060 Mobile,Blackwell 2.0,"May 20th, 2025",nan,nan,1500 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 5060,2025-05-20 00:00:00,True
GeForce RTX 2060 Super (*),Jul 2019,41.00 Mh/s,rtx 2060 super,2019-07-17,rtx 2060 super,100.0,GeForce RTX 2060 SUPER,Turing,"Jul 9th, 2019",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2060 super,2019-07-09 00:00:00,True
GeForce RTX 2060 Super (*),Jul 2019,41.00 Mh/s,rtx 2060 super,2019-07-17,rtx 2060 super,100.0,GeForce RTX 2060 SUPER Mobile,Turing,"Jul 9th, 2019",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2060 super,2019-07-09 00:00:00,True
GeForce RTX 3070,Oct 2020,60.00 Mh/s,rtx 3070,2020-10-17,rtx 3070,100.0,GeForce RTX 3070,Ampere,"Sep 1st, 2020",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 3070,2020-09-01 00:00:00,True
Radeon RX 5700,Jul 2019,55.00 Mh/s,rx 5700,2019-07-17,rx 5700,100.0,Radeon RX 5700,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx 5700,,True
Radeon RX 5700 XT,Jul 2019,55.00 Mh/s,rx 5700 xt,2019-07-17,rx 5700 xt,100.0,Radeon RX 5700 XT,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx 5700 xt,,True
GeForce RTX 2060,Jan 2019,31.00 Mh/s,rtx 2060,2019-01-17,rtx 2060,100.0,GeForce RTX 2060,Turing,"Jan 7th, 2019",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2060,2019-01-07 00:00:00,True
GeForce RTX 2060,Jan 2019,31.00 Mh/s,rtx 2060,2019-01-17,rtx 2060,100.0,GeForce RTX 2060 Mobile,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2060,,True
GeForce RTX 5070 Ti (*),Feb 2025,88.00 Mh/s,rtx 5070 ti,2025-02-17,rtx 5070 ti,100.0,GeForce RTX 5070 Ti,Blackwell 2.0,"Feb 20th, 2025",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 5070 ti,2025-02-20 00:00:00,True
GeForce RTX 5070 Ti (*),Feb 2025,88.00 Mh/s,rtx 5070 ti,2025-02-17,rtx 5070 ti,100.0,GeForce RTX 5070 Ti Mobile,Blackwell 2.0,Mar 2025,nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 5070 ti,2025-03-17 00:00:00,True
GeForce RTX 4070,Apr 2023,62.00 Mh/s,rtx 4070,2023-04-17,rtx 4070,100.0,GeForce RTX 4070,Ada Lovelace,"Apr 12th, 2023",nan,nan,1313 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 4070,2023-04-12 00:00:00,True
GeForce RTX 3060 Ti,Dec 2020,60.00 Mh/s,rtx 3060 ti,2020-12-17,rtx 3060 ti,100.0,GeForce RTX 3060 Ti,Ampere,"Dec 1st, 2020",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 3060 ti,2020-12-01 00:00:00,True
RTX A4000 (*),Apr 2021,59.00 Mh/s,rtx a4000,2021-04-17,rtx a4000,100.0,RTX A4000,Ampere,"Apr 12th, 2021",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx a4000,2021-04-12 00:00:00,True
RTX A4000 (*),Apr 2021,59.00 Mh/s,rtx a4000,2021-04-17,rtx a4000,100.0,RTX A4000 Mobile,Ampere,"Apr 12th, 2021",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx a4000,2021-04-12 00:00:00,True
GeForce RTX 5070 (*),Mar 2025,80.00 Mh/s,rtx 5070,2025-03-17,rtx 5070,100.0,GeForce RTX 5070,Blackwell 2.0,"Mar 4th, 2025",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 5070,2025-03-04 00:00:00,True
GeForce RTX 5070 (*),Mar 2025,80.00 Mh/s,rtx 5070,2025-03-17,rtx 5070,100.0,GeForce RTX 5070 Mobile,Blackwell 2.0,Apr 2025,nan,nan,1500 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 5070,2025-04-17 00:00:00,True
Radeon RX 580 8GB,Apr 2017,30.50 Mh/s,rx 580 8gb,2017-04-17,rx 580g,82.35294117647058,Radeon RX 580G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx 580g,,True
GeForce RTX 4070 Super,Jan 2024,63.00 Mh/s,rtx 4070 super,2024-01-17,rtx 4070 super,100.0,GeForce RTX 4070 SUPER,Ada Lovelace,"Jan 8th, 2024",nan,nan,1313 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 4070 super,2024-01-08 00:00:00,True
GeForce RTX 2070 Super (*),Jul 2019,41.00 Mh/s,rtx 2070 super,2019-07-17,rtx 2070 super,100.0,GeForce RTX 2070 SUPER,Turing,"Jul 9th, 2019",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2070 super,2019-07-09 00:00:00,True
GeForce RTX 2070,Oct 2018,41.00 Mh/s,rtx 2070,2018-10-17,rtx 2070,100.0,GeForce RTX 2070,Turing,"Oct 17th, 2018",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2070,2018-10-17 00:00:00,True
GeForce RTX 2070,Oct 2018,41.00 Mh/s,rtx 2070,2018-10-17,rtx 2070,100.0,GeForce RTX 2070 Mobile,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2070,,True
Radeon RX 6900 XT,Dec 2020,62.00 Mh/s,rx 6900 xt,2020-12-17,rx 6900 xt,100.0,Radeon RX 6900 XT,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx 6900 xt,,True
Radeon RX 6950 XT,May 2022,53.50 Mh/s,rx 6950 xt,2022-05-17,rx 6950 xt,100.0,Radeon RX 6950 XT,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx 6950 xt,,True
GeForce GTX 1070,Jun 2016,30.00 Mh/s,gtx 1070,2016-06-17,gtx 1070,100.0,GeForce GTX 1070,Pascal,"Jun 10th, 2016",nan,nan,2002 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,gtx 1070,2016-06-10 00:00:00,True
GeForce GTX 1070,Jun 2016,30.00 Mh/s,gtx 1070,2016-06-17,gtx 1070,100.0,GeForce GTX 1070 Mobile,Pascal,"Aug 15th, 2016",nan,nan,2002 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,gtx 1070,2016-08-15 00:00:00,True
Radeon RX 7800 XT (*),Sep 2023,65.00 Mh/s,rx 7800 xt,2023-09-17,rx 7800 xt,100.0,Radeon RX 7800 XT,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx 7800 xt,,True
Radeon VII,Feb 2019,94.00 Mh/s,vii,2019-02-17,vii,100.0,Radeon VII,GCN 5.1,"Feb 7th, 2019",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,vii,2019-02-07 00:00:00,True
Radeon VII,Feb 2019,94.00 Mh/s,vii,2019-02-17,vii,100.0,(Radeon VII),PCIe 3.0 x16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,vii,,True
GeForce RTX 2080 Super (*),Jul 2019,44.00 Mh/s,rtx 2080 super,2019-07-17,rtx 2080 super,100.0,GeForce RTX 2080 SUPER,Turing,"Jul 23rd, 2019",nan,nan,1937 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2080 super,2019-07-23 00:00:00,True
GeForce RTX 2080 Super (*),Jul 2019,44.00 Mh/s,rtx 2080 super,2019-07-17,rtx 2080 super,100.0,GeForce RTX 2080 SUPER Mobile,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2080 super,,True
GeForce RTX 2080,Sep 2018,41.00 Mh/s,rtx 2080,2018-09-17,rtx 2080,100.0,GeForce RTX 2080,Turing,"Sep 20th, 2018",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2080,2018-09-20 00:00:00,True
GeForce RTX 2080,Sep 2018,41.00 Mh/s,rtx 2080,2018-09-17,rtx 2080,100.0,GeForce RTX 2080 Mobile,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2080,,True
GeForce RTX 5080,Jan 2025,120.00 Mh/s,rtx 5080,2025-01-17,rtx 5080,100.0,GeForce RTX 5080,Blackwell 2.0,"Jan 30th, 2025",nan,nan,1875 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 5080,2025-01-30 00:00:00,True
Radeon RX Vega 56,Aug 2017,49.00 Mh/s,rx vega 56,2017-08-17,rx vega 56,100.0,Radeon RX Vega 56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx vega 56,,True
RTX A4500 (*),Nov 2021,87.00 Mh/s,rtx a4500,2021-11-17,rtx a4500,100.0,RTX A4500,Ampere,"Nov 23rd, 2021",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx a4500,2021-11-23 00:00:00,True
