gpu,arima_rmse,arima_mae,lstm_rmse,lstm_mae,monero_arima_rmse,monero_arima_mae,monero_rmse,monero_mae,eth_arima_rmse,eth_arima_mae,eth_rmse,eth_mae,ai_arima_rmse,ai_arima_mae,ai_rmse,ai_mae,arima_rel_rmse,arima_rel_mae,lstm_rel_rmse,lstm_rel_mae,monero_rel_rmse,monero_rel_mae,eth_rel_rmse,eth_rel_mae,ai_rel_rmse,ai_rel_mae
Asus TUF GAMING OC GeForce RTX 4080 SUPER 16 GB Video Card (tuf-rtx4080s-o16g-gaming) - PCPartPicker,19.017230623438028,13.053425493962855,19.822829553158478,9.863172254774321,24.93683768785309,16.762434145519386,1166.7742380264472,1166.6475960987937,26.054075213788256,18.275617667372096,1167.7017538875375,1167.575150510152,25.095731975697383,16.973645260342273,1169.0989141767743,1168.9724621154996,0.01597248177602582,0.010963510142221732,0.0166491004950462,0.00828403158233907,0.9799681469206835,0.9798617809664822,0.9807471630919435,0.9806408295159296,0.9819206313902413,0.9818144249039109
Gigabyte GAMING OC GeForce RTX 5080 16 GB Video Card (GV-N5080GAMING OC-16GD) - PCPartPicker,139.49302244763584,116.30096785118626,102.41354291575183,92.88738226996529,77.45342070738884,53.26444394779508,1465.6137445986888,1464.3339251139428,77.67030103160148,53.56533761866542,1465.3458253981416,1464.0657901901668,77.99180195151811,54.00091092537959,1464.454747675446,1463.173927206993,0.09866605504121267,0.08226187585589827,0.07243903734385264,0.06570100361201174,1.0366563420619528,1.0357511015165186,1.0364668377403463,1.0355614446097892,1.0358365616011473,1.034930613040991
Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card (GV-R9070XTGAMING OC-16GD) - PCPartPicker,108.88244343078775,99.60066830145618,7.36080064235324,6.332297309027775,10.742816636667605,9.895103519939914,721.3577334439844,721.3452334720292,10.233484297749847,9.364816324035896,721.1375943416037,721.1251013754207,10.9794927143828,10.183225950386156,719.9340257301668,719.9215105280344,0.14884195760895438,0.13615380020905188,0.010062191319884662,0.008656230499058604,0.9860937521154246,0.9860766646930886,0.9857928226550616,0.9857757448095943,0.9841475481498395,0.9841304399078994
Gigabyte WINDFORCE OC GeForce RTX 4070 12 GB Video Card (GV-N4070WF3OC-12GD) - PCPartPicker,0.829230493377439,0.612572966296241,4.916027191831799,4.916026746961815,0.24139628304726138,0.22051120569537563,559.537690033685,559.5376900282831,0.14138173477325106,0.10955837370468341,557.9131332925679,557.913133280542,0.277072671235714,0.2556952036562229,558.5011564185885,558.5011564185883,0.0014897013305764462,0.001100479022726082,0.008831576150792178,0.008831575351589287,1.0052018684887523,1.005201868479048,1.002283374344884,1.0022833743232795,1.0033397499126406,1.0033397499126402
Gigabyte WINDFORCE OC GeForce RTX 4070 SUPER 12 GB Video Card (GV-N407SWF3OC-12GD) - PCPartPicker,1.3353433140624804,1.120227562446784,9.936214825330051,9.93621459960939,0.19836461318468313,0.18189401410004646,607.2228401502313,607.2228401491376,0.1929489059705965,0.17552733755483133,607.4746326344372,607.4746326329972,0.2175700306941478,0.20078347337441754,607.6231064335506,607.6231064335504,0.0022129430655081486,0.0018564512885947734,0.016466385433285338,0.016466385059219008,1.0062952045197746,1.006295204517962,1.0067124773109755,1.0067124773085891,1.0069585294390668,1.0069585294390668
Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker,21.434943879848745,17.739077367031324,37.69086604671844,35.6698553873698,21.340360124327944,17.591700194225172,589.8066379872472,589.6809148517184,21.516470811681764,17.777938242170542,591.2469348431862,591.1215180476771,21.499536270393314,17.759190707005978,590.2764087452182,590.1521651738484,0.03794249178514346,0.031400352669332936,0.06671747700244729,0.0631400391155157,1.044030422570536,1.043807877129608,1.0465799254724777,1.0463579222911306,1.044861974695194,1.0446420482651328
Gigabyte WINDFORCE SFF GeForce RTX 5070 Ti 16 GB Video Card (GV-N507TWF3-16GD) - PCPartPicker,64.47007392274217,61.35231271611251,23.968919105676108,17.803968804253465,69.00955109194464,65.67975428475351,759.5050226907513,759.1331041444672,69.2089669843156,65.86715042161748,758.0978175902442,757.7254158777661,69.18715180597698,65.84641846528815,759.6503144418807,759.2787132633395,0.08367707439540674,0.0796304660923529,0.03110976775963711,0.023108148192172127,0.985777654971175,0.9852949340128628,0.9839512136671703,0.9834678655972217,0.9859662322121886,0.9854839231721916
MSI GeForce RTX 3060 Ventus 2X 12G GeForce RTX 3060 12GB 12 GB Video Card (RTX3060Ventus2X12GOC) - PCPartPicker,11.992822212494346,10.818767624706911,10.250483021110815,6.387463623046882,9.828729693325585,7.284623211044232,296.3507499847656,296.1803699112998,9.84020448066898,7.081964947969162,296.8889241346821,296.7186973496013,9.833710675065095,7.154337334450092,294.9183002233067,294.74695263873207,0.0398232796276154,0.035924722364018696,0.034037680575514685,0.021210166003028892,0.9840601799467745,0.9834944170939296,0.9858472371782367,0.9852819833337063,0.9793035975183567,0.9787346219550466
MSI SHADOW 2X OC GeForce RTX 5060 8 GB Video Card (RTX 5060 8G SHADOW 2X OC) - PCPartPicker,24.728177752601386,23.703644783042687,0.9782798160038025,0.9782754855685855,2.8250476969600884,2.664011722335842,299.4744439287785,299.47444373077815,4.417224641963805,3.9641618067902122,298.1791872511971,298.17918725119694,3.3805472741748925,3.0988243539243596,299.47122729063034,299.47122729063034,0.08243000684223271,0.0790147831029124,0.0032610414213933886,0.0032610269861281563,0.9982814224766777,0.9982814218166546,0.9939637562958671,0.9939637562958664,0.998270699992101,0.998270699992101
MSI VENTUS 2X BLACK OC GeForce RTX 4060 8 GB Video Card (RTX 4060 VENTUS 2X BLACK 8G OC) - PCPartPicker,1.1483079076660365,0.9279719313528245,30.667498880510518,30.66749871148004,0.07697927056575456,0.0724358319208698,331.49350682898904,331.49350629885987,0.23886902998952503,0.21805100731580435,330.0484516154485,330.0484516154395,0.18658268669310077,0.1734579464557151,331.15311018541377,331.1531072971556,0.003731882311687907,0.0030158131048642414,0.09966620960444589,0.09966620905511425,1.0773197208829846,1.0773197191601196,1.0726234404212527,1.0726234404212234,1.0762134668855716,1.0762134574990303
